challenging: [힘든, 어려운],
mistakenly: [실수로, 잘못하여],
constantly: [끊임없이, 항상],
dominate: [지배하다],
refrain: [그만두다, 삼가다],
irrespective : [관계없는, 상관없는],
perceive: [인식하다, 인지하다],
obligation: [의무, 책임],
abide: [지키다, 준수하다],
payroll: [급여 지급 명부, 총액],
bankrupt: [파산한, 지불능력이 없는],
preliminary: [임시의, 예비적인],
recession: [불경기, 경기침체],
plummet: [폭락하다],
proportion: [비율, 부분, 크기],
screen: [심사하다, 선발하다],
legal: [법률상의, 법적인, 합법의],
tremendous: [거대한, 엄청난],
circumstance: [상황, 사정, 처지],
owe: [빚지고 있다],
barely: [간신히, 겨우, 거의],
simplify: [단순화하다, 간소화하다],
exhausted: [고갈된, 소모된, 지쳐버린],
morale: [사기, 의욕],
restructuring: [구조조정, 기업혁신전략],
intervention: [개입, 간섭],
outskirt: [교외, 변두리],
remote: [먼, 멀리 떨어진],
outweight: [보다 중대하다, 능가하다],
average: [평균의, 보통의],
mutually: [서로, 상호간에],
yield: [산출하다, 생산하다],
appliance: [전기제품, 가구]
